SKU,Tên sản phẩm,Loại sản phẩm,Giá bán,Số lượng,Mô tả,Thông số kỹ thuật (JSON)
IP15PM-256-BLK,iPhone 15 Pro Max 256GB Đen Titan,Điện thoại,32900000,15,Flagship cao cấp nhất của Apple 2023,"{""Chip"":""A17 Pro"",""Camera chính"":""48MP"",""Màn hình"":""6.7 inch Super Retina XDR"",""Dung lượng"":""256GB"",""RAM"":""8GB"",""Pin"":""4422 mAh"",""Màu sắc"":""Đen Titan"",""Hệ điều hành"":""iOS 17""}"
IP15PM-512-WHT,iPhone 15 Pro Max 512GB Trắng Titan,Điện thoại,37900000,10,Flagship cao cấp nhất của Apple 2023,"{""Chip"":""A17 Pro"",""Camera chính"":""48MP"",""Màn hình"":""6.7 inch Super Retina XDR"",""Dung lượng"":""512GB"",""RAM"":""8GB"",""Pin"":""4422 mAh"",""Màu sắc"":""Trắng Titan"",""Hệ điều hành"":""iOS 17""}"
SS-S24U-256-BLK,Samsung Galaxy S24 Ultra 256GB Đen,Điện thoại,29900000,15,Flagship Android cao cấp nhất 2024,"{""Chip"":""Snapdragon 8 Gen 3"",""Camera chính"":""200MP"",""Màn hình"":""6.8 inch Dynamic AMOLED 2X"",""Dung lượng"":""256GB"",""RAM"":""12GB"",""Pin"":""5000 mAh"",""Màu sắc"":""Đen"",""Hệ điều hành"":""Android 14""}"
SS-S24U-512-GRY,Samsung Galaxy S24 Ultra 512GB Xám,Điện thoại,33900000,10,Flagship Android cao cấp nhất 2024,"{""Chip"":""Snapdragon 8 Gen 3"",""Camera chính"":""200MP"",""Màn hình"":""6.8 inch Dynamic AMOLED 2X"",""Dung lượng"":""512GB"",""RAM"":""12GB"",""Pin"":""5000 mAh"",""Màu sắc"":""Xám"",""Hệ điều hành"":""Android 14""}"
MBP-M3P-14-512-SLV,MacBook Pro 14 M3 Pro 512GB Bạc,Laptop,52900000,10,Laptop chuyên nghiệp cho sáng tạo nội dung,"{""Chip"":""Apple M3 Pro 11-core"",""RAM"":""18GB Unified Memory"",""Ổ cứng"":""512GB SSD"",""Màn hình"":""14.2 inch Liquid Retina XDR"",""Card đồ họa"":""14-core GPU"",""Pin"":""Lên đến 18 giờ"",""Màu sắc"":""Bạc"",""Hệ điều hành"":""macOS Sonoma""}"
MBP-M3P-14-1TB-GRY,MacBook Pro 14 M3 Pro 1TB Xám,Laptop,62900000,8,Laptop chuyên nghiệp cho sáng tạo nội dung,"{""Chip"":""Apple M3 Pro 12-core"",""RAM"":""18GB Unified Memory"",""Ổ cứng"":""1TB SSD"",""Màn hình"":""14.2 inch Liquid Retina XDR"",""Card đồ họa"":""18-core GPU"",""Pin"":""Lên đến 18 giờ"",""Màu sắc"":""Xám"",""Hệ điều hành"":""macOS Sonoma""}"
MBA-M2-13-256-SLV,MacBook Air 13 M2 256GB Bạc,Laptop,28900000,20,Laptop mỏng nhẹ cho công việc hàng ngày,"{""Chip"":""Apple M2 8-core"",""RAM"":""8GB Unified Memory"",""Ổ cứng"":""256GB SSD"",""Màn hình"":""13.6 inch Liquid Retina"",""Card đồ họa"":""8-core GPU"",""Pin"":""Lên đến 18 giờ"",""Màu sắc"":""Bạc"",""Hệ điều hành"":""macOS Sonoma""}"
MBA-M2-13-512-MID,MacBook Air 13 M2 512GB Xanh,Laptop,34900000,15,Laptop mỏng nhẹ cho công việc hàng ngày,"{""Chip"":""Apple M2 8-core"",""RAM"":""8GB Unified Memory"",""Ổ cứng"":""512GB SSD"",""Màn hình"":""13.6 inch Liquid Retina"",""Card đồ họa"":""10-core GPU"",""Pin"":""Lên đến 18 giờ"",""Màu sắc"":""Xanh Midnight"",""Hệ điều hành"":""macOS Sonoma""}"
DELL-XPS13-512-SLV,Dell XPS 13 9320 512GB Bạc,Laptop,34900000,15,Laptop Windows cao cấp mỏng nhẹ,"{""CPU"":""Intel Core i7-1260P"",""RAM"":""16GB LPDDR5"",""Ổ cứng"":""512GB NVMe SSD"",""Màn hình"":""13.4 inch FHD+ InfinityEdge"",""Card đồ họa"":""Intel Iris Xe"",""Pin"":""Lên đến 12 giờ"",""Màu sắc"":""Bạc"",""Hệ điều hành"":""Windows 11 Pro""}"
DELL-XPS15-512-SLV,Dell XPS 15 9530 512GB Bạc,Laptop,44900000,12,Laptop Windows cao cấp cho đồ họa,"{""CPU"":""Intel Core i7-13700H"",""RAM"":""16GB DDR5"",""Ổ cứng"":""512GB NVMe SSD"",""Màn hình"":""15.6 inch FHD+ InfinityEdge"",""Card đồ họa"":""NVIDIA RTX 4050 6GB"",""Pin"":""Lên đến 10 giờ"",""Màu sắc"":""Bạc"",""Hệ điều hành"":""Windows 11 Pro""}"
ASUS-ROG-512-BLK,Asus ROG Strix G16 512GB Đen,Laptop,44900000,10,Laptop gaming hiệu năng cao,"{""CPU"":""Intel Core i7-13650HX"",""RAM"":""16GB DDR5"",""Ổ cứng"":""512GB NVMe SSD"",""Màn hình"":""16 inch FHD 165Hz"",""Card đồ họa"":""NVIDIA RTX 4060 8GB"",""Pin"":""Lên đến 6 giờ"",""Màu sắc"":""Đen"",""Hệ điều hành"":""Windows 11 Home""}"
ASUS-ROG-1TB-BLK,Asus ROG Strix G16 1TB Đen,Laptop,54900000,6,Laptop gaming hiệu năng cao,"{""CPU"":""Intel Core i9-13980HX"",""RAM"":""32GB DDR5"",""Ổ cứng"":""1TB NVMe SSD"",""Màn hình"":""16 inch QHD 240Hz"",""Card đồ họa"":""NVIDIA RTX 4070 8GB"",""Pin"":""Lên đến 6 giờ"",""Màu sắc"":""Đen"",""Hệ điều hành"":""Windows 11 Home""}"
IPAD-PRO-M2-11-256-GRY,iPad Pro 11 M2 256GB WiFi Xám,Tablet,25900000,15,Tablet cao cấp cho sáng tạo,"{""Chip"":""Apple M2"",""RAM"":""8GB"",""Dung lượng"":""256GB"",""Màn hình"":""11 inch Liquid Retina"",""Kết nối"":""WiFi 6E"",""Camera"":""12MP Wide + 10MP Ultra Wide"",""Màu sắc"":""Xám"",""Hệ điều hành"":""iPadOS 17""}"
IPAD-PRO-M2-13-256-GRY,iPad Pro 12.9 M2 256GB WiFi Xám,Tablet,33900000,12,Tablet cao cấp màn hình lớn,"{""Chip"":""Apple M2"",""RAM"":""8GB"",""Dung lượng"":""256GB"",""Màn hình"":""12.9 inch Liquid Retina XDR"",""Kết nối"":""WiFi 6E"",""Camera"":""12MP Wide + 10MP Ultra Wide"",""Màu sắc"":""Xám"",""Hệ điều hành"":""iPadOS 17""}"
IPAD-AIR-M1-256-PNK,iPad Air M1 256GB WiFi Hồng,Tablet,19900000,20,Tablet cân bằng giữa giá và hiệu năng,"{""Chip"":""Apple M1"",""RAM"":""8GB"",""Dung lượng"":""256GB"",""Màn hình"":""10.9 inch Liquid Retina"",""Kết nối"":""WiFi 6"",""Camera"":""12MP Wide"",""Màu sắc"":""Hồng"",""Hệ điều hành"":""iPadOS 17""}"
SS-TAB-S9-256-GRY,Samsung Galaxy Tab S9 256GB WiFi Xám,Tablet,22900000,15,Tablet Android cao cấp,"{""Chip"":""Snapdragon 8 Gen 2"",""RAM"":""12GB"",""Dung lượng"":""256GB"",""Màn hình"":""11 inch Dynamic AMOLED 2X"",""Kết nối"":""WiFi 6E"",""Camera"":""13MP + 8MP Ultra Wide"",""Màu sắc"":""Xám"",""Hệ điều hành"":""Android 13""}"
SS-TAB-S9P-256-BLK,Samsung Galaxy Tab S9+ 256GB WiFi Đen,Tablet,26900000,12,Tablet Android cao cấp màn hình lớn,"{""Chip"":""Snapdragon 8 Gen 2"",""RAM"":""12GB"",""Dung lượng"":""256GB"",""Màn hình"":""12.4 inch Dynamic AMOLED 2X"",""Kết nối"":""WiFi 6E"",""Camera"":""13MP + 8MP Ultra Wide"",""Màu sắc"":""Đen"",""Hệ điều hành"":""Android 13""}"
